x,y
113,79
109,83
112,86
112,84
106,75
113,85
109,79
113,83
107,76
106,72
112,81
114,82
109,82
111,81
105,74
114,79
110,83
111,84
107,75
106,73
110,79
114,83
106,76
105,72
112,78
111,80
113,81
114,85
104,74
103,73
111,83
113,82
111,78
110,85
114,80
110,84
107,73
111,79
115,83
105,76
104,72
103,75
110,80
114,84
103,72
104,75
111,82
109,81
107,74
114,81
112,82
111,85
113,80
109,84
104,73
103,74
112,79
104,76
109,80
113,84
105,75
112,85
110,82
112,83
106,74
107,72
115,81
115,82
112,80
110,81
105,73
62,36
56,25
54,30
54,27
65,27
54,34
58,32
52,29
60,37
60,27
59,29
64,38
56,28
53,35
65,36
53,30
53,23
64,35
55,25
64,32
53,34
65,31
57,37
65,26
55,36
59,28
56,30
61,39
65,40
64,39
59,27
62,31
60,26
65,33
65,28
65,29
58,36
60,33
63,40
62,28
63,35
63,30
52,32
53,31
62,32
64,37
56,27
55,33
63,34
59,31
55,28
63,29
59,26
55,37
64,34
61,36
57,25
60,35
55,32
55,27
55,22
57,32
53,29
61,37
61,27
58,34
56,31
56,29
54,35
64,36
58,25
52,30
54,23
60,38
65,35
57,24
65,30
52,34
54,29
64,26
62,37
57,34
54,36
56,33
58,28
62,39
65,39
63,31
59,37
63,26
64,28
57,36
61,33
61,28
56,35
64,25
62,30
54,31
65,37
57,27
52,33
62,34
60,31
54,28
58,26
60,36
62,33
61,35
61,30
54,32
54,22
55,24
56,32
62,27
61,34
57,31
57,29
57,26
55,35
63,36
55,30
55,23
63,38
56,24
64,30
53,27
53,22
64,27
55,34
55,29
63,37
56,34
58,29
53,36
57,33
65,38
57,28
52,35
60,25
58,30
52,23
63,39
65,32
64,31
56,37
56,36
58,33
60,28
57,35
65,25
57,30
55,31
55,26
58,27
53,33
61,31
61,29
61,26
64,33
56,23
64,29
59,36
63,33
63,28
62,35
53,32
52,31
54,24
63,32
63,27
54,33
60,34
58,31
62,29
56,26
65,34
